Scenario / Demand Regime,Sample Count,Reactive Service Level (%),Full Fusion Service Level (%),Service Gain vs Reactive (pp),Unserved Demand Reduction (%),Interpretation
Commute,490,45.352411765292935,59.95194682714331,14.599535061850375,26.715790272658552,Operational improvement
Holiday,92,75.07321583408539,84.31278866061474,9.239572826529354,37.06684650948168,Operational improvement
Mixed Regime,1851,90.78740056913911,93.76675297232784,2.9793524031887273,32.33997554705716,Operational improvement
Severe Weather,589,71.99131086902587,85.08293402331977,13.091623154293899,46.74129193649474,Operational improvement
Weekend,421,62.20783807364141,69.96321621983992,7.75537814619851,20.521128590924675,Operational improvement
