Regime,Model,N observations,RMSE,MAE,WAPE (%),Peak-MAE,Best in Regime by WAPE,Temporal Only WAPE (%),WAPE Gain vs Temporal Only (%),Gain Interpretation
Severe Weather,Full Cross-Modal Fusion,186,64.89084346545776,37.831133160478636,27.564207019150537,89.529557062713,False,29.549839141328,6.719603828233317,Improves over Temporal Only
Severe Weather,Weather + Calendar,186,66.0530883163763,38.56483792773821,28.098792911936016,91.52298174188692,False,29.549839141328,4.910504664516332,Improves over Temporal Only
Severe Weather,Temporal Only,186,68.83711119109236,40.55635987095972,29.549839141328,77.31815225801613,False,29.549839141328,0.0,No change
Severe Weather,Temporal + Neighborhood,186,68.9105937535789,40.57219481972364,29.561376670590338,78.8652156661457,False,29.549839141328,-0.03904430480029725,Worse than Temporal Only
Severe Weather,Temporal + Calendar,186,69.99173863135717,42.0464879467057,30.635563922308663,78.90444132617309,False,29.549839141328,-3.6742155373095837,Worse than Temporal Only
Weekend,Weather + Calendar,403,23.65949314205805,15.220122035633146,17.341558327282964,38.12819049375817,True,17.743280051244508,2.264078134377227,Improves over Temporal Only
Weekend,Temporal + Calendar,403,23.90249080177285,15.284816493589839,17.41527013547224,39.08215741993682,False,17.743280051244508,1.8486430627535533,Improves over Temporal Only
Weekend,Full Cross-Modal Fusion,403,23.910161878251788,15.32557032671207,17.461704386951627,38.6698509464675,False,17.743280051244508,1.5869425691284782,Improves over Temporal Only
Weekend,Temporal + Neighborhood,403,24.02640578924687,15.451039773239827,17.604662223962325,38.766071702526546,False,17.743280051244508,0.7812412749042965,Improves over Temporal Only
Weekend,Temporal Only,403,24.687331607691526,15.5727001343061,17.743280051244508,38.358611680978804,False,17.743280051244508,0.0,No change
Weekend,Temporal + Weather,403,24.596663543408663,15.584189023655702,17.756370304023385,37.86482790417665,False,17.743280051244508,-0.0737758336737679,Worse than Temporal Only
