Feature,Feature Label,Feature Value,Mean Predicted Demand
temp,Temperature,0.36,277.5793198842444
temp,Temperature,0.37241379310344824,277.6662557463763
temp,Temperature,0.38482758620689655,277.6659264094222
temp,Temperature,0.3972413793103448,277.8748380252204
temp,Temperature,0.40965517241379307,277.88315331701193
temp,Temperature,0.4220689655172414,278.1868738602954
temp,Temperature,0.43448275862068964,278.6814659657817
temp,Temperature,0.4468965517241379,278.73072732352654
temp,Temperature,0.4593103448275862,278.80916123061905
temp,Temperature,0.47172413793103446,279.16504758532614
temp,Temperature,0.48413793103448277,279.20189459692074
temp,Temperature,0.496551724137931,279.63363071222733
temp,Temperature,0.5089655172413793,279.6821422051616
temp,Temperature,0.5213793103448275,280.3548284650437
temp,Temperature,0.5337931034482759,280.8084150162492
temp,Temperature,0.5462068965517242,280.8320705846318
temp,Temperature,0.5586206896551724,281.75524452961156
temp,Temperature,0.5710344827586207,282.020386255814
temp,Temperature,0.5834482758620689,282.0682944689443
temp,Temperature,0.5958620689655172,282.23559772768067
temp,Temperature,0.6082758620689654,282.24799359993347
temp,Temperature,0.6206896551724137,282.28704952044836
temp,Temperature,0.6331034482758621,282.397980189399
temp,Temperature,0.6455172413793103,282.4531650268207
temp,Temperature,0.6579310344827586,282.7275556401297
temp,Temperature,0.670344827586207,282.83288134076844
temp,Temperature,0.6827586206896552,282.8449981368405
temp,Temperature,0.6951724137931035,282.88902163939133
temp,Temperature,0.7075862068965517,282.89964679090644
temp,Temperature,0.72,283.1263760351578
hum,Humidity,0.34,282.73741452152035
hum,Humidity,0.3606896551724138,282.6973150732566
hum,Humidity,0.3813793103448276,282.6877531260926
hum,Humidity,0.40206896551724136,282.5715784954267
hum,Humidity,0.4227586206896552,282.61579996979145
hum,Humidity,0.443448275862069,282.5673313033701
hum,Humidity,0.46413793103448275,282.34842855800764
hum,Humidity,0.4848275862068966,282.2311629350273
hum,Humidity,0.5055172413793103,282.1816196933121
hum,Humidity,0.5262068965517241,282.110742326548
hum,Humidity,0.546896551724138,281.85176132837825
hum,Humidity,0.5675862068965517,281.7584242363123
hum,Humidity,0.5882758620689654,281.75005522805697
hum,Humidity,0.6089655172413793,281.4820957559572
hum,Humidity,0.6296551724137931,281.2962018860083
hum,Humidity,0.6503448275862069,281.0540927194542
hum,Humidity,0.6710344827586207,280.71500233899417
hum,Humidity,0.6917241379310344,280.44802900197055
hum,Humidity,0.7124137931034482,280.2446454455988
hum,Humidity,0.733103448275862,280.0794362303035
hum,Humidity,0.7537931034482759,279.65570050226836
hum,Humidity,0.7744827586206896,279.3978445300242
hum,Humidity,0.7951724137931033,279.16158199170746
hum,Humidity,0.8158620689655172,278.7160133591019
hum,Humidity,0.836551724137931,278.5487864901997
hum,Humidity,0.8572413793103448,277.8002219811723
hum,Humidity,0.8779310344827584,277.4208678152836
hum,Humidity,0.8986206896551723,276.5789234482252
hum,Humidity,0.9193103448275861,276.40668666349023
hum,Humidity,0.94,276.3344576064171
hr,Hour of day,0.0,283.39795244321346
hr,Hour of day,1.0,283.39912420097636
hr,Hour of day,2.0,283.40777768575737
hr,Hour of day,3.0,283.3889048917049
hr,Hour of day,4.0,283.349299995709
hr,Hour of day,5.0,283.5994117287566
hr,Hour of day,6.0,287.3954089071811
hr,Hour of day,7.0,287.37280197228955
hr,Hour of day,8.0,287.8530692810891
hr,Hour of day,9.0,285.65971743871876
hr,Hour of day,10.0,285.99477113122657
hr,Hour of day,11.0,288.27996033881664
hr,Hour of day,12.0,288.40638597535093
hr,Hour of day,13.0,288.26294513032326
hr,Hour of day,14.0,288.2573009416041
hr,Hour of day,15.0,288.26016108430827
hr,Hour of day,16.0,288.1015145647181
hr,Hour of day,17.0,287.33736226905876
hr,Hour of day,18.0,285.663008140601
hr,Hour of day,19.0,283.74877979879136
hr,Hour of day,20.0,283.50282705145383
hr,Hour of day,21.0,283.45024999024497
hr,Hour of day,22.0,283.436624302994
hr,Hour of day,23.0,283.2130094046212
