Method,RMSE,MAE,WAPE (%)
Reactive policy,210.35946453619994,165.6101026236809,66.85217644484047
Temporal Only forecast-guided,13.894073843355944,6.8205393329228095,2.7532613754224586
Temporal + Weather forecast-guided,14.188866504517948,6.99088947757905,2.822026974546812
Full Cross-Modal Fusion forecast-guided,14.296600382332848,7.048839204934419,2.8454196621710364
