Horizon,Temporal RMSE,Proposed RMSE,RMSE Gain of Proposed vs Temporal (%),Best Model by RMSE,Temporal MAE,Proposed MAE,MAE Gain of Proposed vs Temporal (%),Temporal WAPE (%),Proposed WAPE (%)
1 hour,78.34878475412937,70.42204446690903,10.117247270772202,Proposed,48.530826809496034,43.844986962403794,9.65538845131598,20.68851225925792,18.69095603582844
3 hour,92.85980606749234,94.76051154270445,-2.0468548834041678,Temporal baseline,57.747318945008885,56.528163196312065,2.111190217952435,24.617468822915768,24.09774722921888
6 hour,101.61374055512856,105.32778685617724,-3.6550630660365258,Temporal baseline,63.46210740157232,63.69942071003264,-0.3739448911752384,27.08127890538794,27.182547964319554
12 hour,130.9025339354755,129.28479259207518,1.235836537891423,Proposed,78.8053957703353,78.06125768483174,0.9442730135791872,33.65321557469672,33.33543734182322
24 hour,116.71981840351467,114.45369774627815,1.941504611840859,Proposed,73.34784111179495,71.96236488020827,1.8889120805545878,31.334483293216724,30.7426024529118
