Model,RMSE,MAE,WAPE (%),Peak-MAE,RMSE Gain vs Temporal Only (%),WAPE Gain vs Temporal Only (%)
Full Cross-Modal Fusion,57.0193723039236,34.34669958901862,14.641871202849998,103.6909831414143,3.8877016300142904,3.5430670362074403
Weather + Calendar,57.033225270132625,34.33806291427581,14.638189420299758,102.12999834938664,3.864350962201007,3.5673216856109016
Temporal + Weather,57.63900880084448,34.72250310535777,14.802074854136924,102.33220984297446,2.8432375212977887,2.4876860238591028
Temporal + Calendar,58.611590360259164,35.16178887584239,14.98934075594535,106.42422312735616,1.2038464643538336,1.2540257705423334
Temporal + Neighborhood,58.75594128578377,35.19984009039613,15.005561848198006,108.14515500889749,0.9605274192045101,1.1471653299376199
Temporal Only,59.3257816855307,35.60832646618723,15.179698081781408,107.29804086611053,0.0,0.0
Historical Average,147.90512043635442,101.75056479520305,43.375890038207146,326.864699611732,-149.31002379430566,-185.74935947024304
