Model,RMSE,MAE,WAPE (%),Peak-MAE
Full Cross-Modal Fusion,57.0193723039236,34.34669958901862,14.641871202849998,103.6909831414143
Weather + Calendar,57.033225270132625,34.33806291427581,14.638189420299758,102.12999834938664
Temporal + Weather,57.63900880084448,34.72250310535777,14.802074854136924,102.33220984297446
Temporal + Calendar,58.611590360259164,35.16178887584239,14.98934075594535,106.42422312735616
Temporal + Neighborhood,58.75594128578377,35.19984009039613,15.005561848198006,108.14515500889749
Temporal Only,59.3257816855307,35.60832646618723,15.179698081781408,107.29804086611053
Historical Average,147.90512043635442,101.75056479520305,43.375890038207146,326.864699611732
